"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_crispatus_Mitchell_12_29_17_G06_S623-bin_1_00838","","","1","167","104","734","0.9523809523809524","81.46503884572697","0.042261630584983875","5.268625555296641e-08","0.0013174198201019252","1.05393585608154e-06"
"L_delbrueckii_subsp_bulgaricus_KW14_3_00719","","","1","167","104","734","0.9523809523809524","81.46503884572697","0.042261630584983875","5.268625555296641e-08","0.0013174198201019252","1.05393585608154e-06"
"L_crispatus_Chicken_14_mag_17_01347","","","5","235","100","666","4.761904761904762","73.91786903440621","0.14170212765957446","5.299249598183215e-08","0.001325077362025713","1.0583685000205376e-06"
"uncultured_L_sp_Chicken_10_mag_88_00952","","","5","235","100","666","4.761904761904762","73.91786903440621","0.14170212765957446","5.299249598183215e-08","0.001325077362025713","1.0583685000205376e-06"
"L_amylovorus_AF08-3_00736","","","15","16","90","885","14.285714285714285","98.22419533851277","9.21875","5.3146524030926026e-08","0.0013289288333933054","1.0605976323968918e-06"
"L_crispatus_Mitchell_12_29_17_E06_S621-bin_1_00410","","","1","170","104","731","0.9523809523809524","81.13207547169812","0.041346153846153845","5.431822181028097e-08","0.0013582271363660758","1.0831157387289282e-06"
"L_gasseri_UMB3077_01441","","","32","89","73","812","30.476190476190478","90.12208657047725","3.9993843312297983","5.534493614270447e-08","0.0013839001282483251","1.1027092655365141e-06"
"L_helveticus_FAM1450_01849","","","12","8","93","893","11.428571428571429","99.11209766925639","14.403225806451612","5.678234480181751e-08","0.0014198425317694468","1.130447875612617e-06"
"L_gasseri_DSM_14869_00911","","","70","349","35","552","66.66666666666666","61.26526082130965","3.163323782234957","5.7685807637590385e-08","0.0014424336199779476","1.1475207796165056e-06"
"L_helveticus_CAUH18_01583","1020_g_743","1020_g_1999","86","497","19","404","81.9047619047619","44.83906770255272","3.679339193053055","5.843768945297667e-08","0.0014612344247716816","1.1615535967978392e-06"
"L_delbrueckii_subsp_bulgaricus_ATCC_BAA-365_00967","","1020_g_2913","29","74","76","827","27.61904761904762","91.78690344062154","4.264402560455192","6.16312879106845e-08","0.001541090354206666","1.2240590581466767e-06"
"L_amylolyticus_L5_01364","","","85","486","20","415","80.95238095238095","46.05993340732519","3.6291152263374484","6.295257100081765e-08","0.0015741290378754455","1.2493087602186076e-06"
"L_crispatus_Mitchell_12_29_17_E07_S629-bin_2_00548","","","0","143","105","758","0.0","84.12874583795784","0.0","6.322568607341144e-08","0.0015809582802656533","1.2537337670623738e-06"
"L_crispatus_B4_01212","","","0","142","105","759","0.0","84.23973362930077","0.0","6.387318974987438e-08","0.001597149109695609","1.2655698175084064e-06"
